restaurant_name,rating,area,restaurant_type,price_range,url
Cappuccino Blast,4.1,"Hazratganj, Lucknow","Cafe, Fast Food, North Indian, Chinese, Italian, Desserts, Shake, Beverages","₹1,000 for two",https://www.zomato.com/lucknow/cappuccino-blast-hazratganj/info
Foodie Baba,4.4,"Aashiana, Lucknow","Burger, Fast Food, Sandwich, Pizza, Pasta, Beverages, Healthy Food, Shake",₹500 for two,https://www.zomato.com/lucknow/foodie-baba-aashiana/info
Baati Chokha,4.5,"Gomti Nagar, Lucknow","North Indian, Desserts, Street Food",₹400 for two,https://www.zomato.com/lucknow/baati-chokha-gomti-nagar/info
Spice Caves,4.5,"Gomti Nagar, Lucknow","North Indian, Chinese, Mughlai, Shake, Sichuan","₹1,000 for two",https://www.zomato.com/spicecaves/info
Curry Leaf,4.5,"Hazratganj, Lucknow","South Indian, Beverages",₹500 for two,https://www.zomato.com/lucknow/curry-leaf-hazratganj/info
Dastarkhwan,4.9,"Kaiserbagh, Lucknow","Mughlai, North Indian, Kebab, Biryani",₹500 for two,https://www.zomato.com/lucknow/dastarkhwan-1-kaiserbagh/info
Cake 'n' Cafe,4.0,"Aashiana, Lucknow","Bakery, Street Food",₹450 for two,https://www.zomato.com/lucknow/cake-n-cafe-aashiana/info
Ttamaasha Bistro Bar,4.0,"Gomti Nagar, Lucknow","North Indian, Italian, Chinese, Fast Food, Shake","₹2,200 for two",https://www.zomato.com/lucknow/ttamaasha-bistro-bar-gomti-nagar/info
Tastes Of Bengal,4.0,"Gomti Nagar, Lucknow",Bengali,₹700 for two,https://www.zomato.com/lucknow/tastes-of-bengal-gomti-nagar/info
Shaukeens The Bistro,4.4,"Aliganj, Lucknow","Chinese, North Indian, Mughlai, Beverages, Shake",₹850 for two,https://www.zomato.com/lucknow/shaukeens-the-bistro-aliganj/info
Sugar & Spice,4.0,"Gomti Nagar, Lucknow","Shake, Desserts, Beverages, Ice Cream, Pizza, Burger, Sandwich, Pasta",₹500 for two,https://www.zomato.com/lucknow/sugar-spice-gomti-nagar/info
Frozen Junction,4.8,"Gomti Nagar, Lucknow","Desserts, Ice Cream, Shake, Beverages",₹300 for two,https://www.zomato.com/lucknow/frozen-junction-gomti-nagar/info
Elev8 Book Cafe - Hotel Levana Suites,4.0,"Hazratganj, Lucknow","Fast Food, Finger Food, Chinese, North Indian, Beverages","₹1,200 for two",https://www.zomato.com/lucknow/elev8-book-cafe-hotel-levana-suites-hazratganj/info
Sardar Ji Ke Mashoor Chhole Bhature - Punjabi Zaika,4.3,"Lalbagh, Lucknow",North Indian,₹200 for two,https://www.zomato.com/lucknow/sardar-ji-ke-mashoor-chhole-bhature-punjabi-zaika-lalbagh/info
Mahesh's Mansarovar,4.2,"Aliganj, Lucknow","North Indian, South Indian, Fast Food, Chinese, Desserts",₹500 for two,https://www.zomato.com/lucknow/maheshs-mansarovar-aliganj/info
Urban Terrace,4.2,"Lineage Hotels, Gomti Nagar, Lucknow","Mughlai, Chinese, Italian, Continental, Desserts, Beverages, North Indian, Oriental","₹1,100 for two",https://www.zomato.com/lucknow/urban-terrace-gomti-nagar/info
Al - Baike,4.1,"Aliganj, Lucknow","Mughlai, Burger, North Indian, Fast Food",₹150 for two,https://www.zomato.com/lucknow/al-baike-aliganj/info
